Account ,Date,Transaction Type,No.,Name,Memo/Description,Split,Amount,Balance
Barter Account,,,,,,,,
,04/01/2021,Payment,,Website Sale,,Debtors,3.15,3.15
,04/01/2021,Payment,,Website Sale,,Debtors,6.22,9.37
,05/01/2021,Payment,,Website Sale,,Debtors,5.51,14.88
,06/01/2021,Payment,,Website Sale,,Debtors,3.83,18.71
,06/01/2021,Payment,,Website Sale,,Debtors,2.98,21.69
,07/01/2021,Payment,,Website Sale,,Debtors,5.41,27.1
,07/01/2021,Payment,,Website Sale,,Debtors,3.29,30.39
,11/01/2021,Payment,,Website Sale,,Debtors,3.54,33.93
,11/01/2021,Payment,,Website Sale,,Debtors,1.35,35.28
Total for Barter Account,,,,,,,£0.00  ,
Cash in Hand,,,,,,,,
,26/04/2021,Refund,12430,Jens Biskup,,Orders in Hand/Deferred Income,"-4,697.50","-4,697.50"
,26/04/2021,Payment,,Jens Biskup,,Debtors,"4,697.50",0
Total for Cash in Hand,,,,,,,£0.00  ,
Commercial card,,,,,,,,
,15/01/2021,Transfer,,,,Commerzbank,"3,241.02","3,241.02"
,31/01/2021,Cheque,764,,,MARKETING/SELLING:Postage and Delivery,-34.33,"3,206.69"
,31/01/2021,Cheque,763,,,-Split-,-176.45,"3,030.24"
,31/01/2021,Cheque,769,,,-Split-,-96.09,"2,934.15"
,31/01/2021,Cheque,768,,,-Split-,-113.13,"2,821.02"
,31/01/2021,Cheque,770,,,MARKETING/SELLING:Subsistasnce and Entertainment expenses,-205,"2,616.02"
,31/01/2021,Cheque,767,,,-Split-,-311.19,"2,304.83"
,31/01/2021,Cheque,766,,,-Split-,-557.7,"1,747.13"
,31/01/2021,Bill Payment (Cheque),762,3DGBIRE Ltd,,Creditors,"-1,509.60",237.53
,31/01/2021,Cheque,765,,,-Split-,-237.53,0
,11/02/2021,Transfer,,,,Commerzbank,"4,273.16","4,273.16"
Total for Commercial card,,,,,,,£0.00  ,
Commerzbank,,,,,,,,
,Beginning Balance,,,,,,,"102,365.42"
,02/12/2021,Payment,,Blaser Group Norway AS,,Debtors,858,"6,353.74"
,02/12/2021,Payment,,The Traditional English cases Ltd,,Debtors,743.22,"7,096.96"
,06/12/2021,Payment,,David Auger,,Debtors,"26,685.00","33,781.96"
,07/12/2021,Transfer,,,,Natwest Saver ****7829,"-150,000.00","-116,218.04"
,07/12/2021,Payment,,Gordy & Sons Outfitters,,Debtors,"364,173.80","247,955.76"
,08/12/2021,Bill Payment (Cheque),9370,Blaser Group UK supplier,,Creditors,"-18,242.40","229,713.36"
,08/12/2021,Bill Payment (Cheque),9368,Blaser Group,,Creditors,"-116,779.30","112,934.06"
,10/12/2021,Payment,,David Modesett,,Debtors,"147,820.00","260,754.06"
,10/12/2021,Payment,,Sheikh Salman Bin Ebrahim Al-Khalifa,,Debtors,"15,987.75","276,741.81"
,12/12/2021,Journal Entry,3394,,Refund of overpayment being received from Lothar,-Split-,"1,117.81","277,859.62"
,12/12/2021,Journal Entry,3394,,Refund of overpayment being received from Lothar,-Split-,"3,341.13","281,200.75"
,12/12/2021,Cheque,,Alphabet GP Ltd,,MARKETING/SELLING:Car Rental,-203.41,"280,997.34"
,12/12/2021,Transfer,,,,Natwest Saver ****7829,"-70,000.00","210,997.34"
,13/12/2021,Transfer,,,,Commercial card,"-9,909.44","201,087.90"
,13/12/2021,Bill Payment (Cheque),9366,Alphabet GP Ltd,,Creditors,"-1,326.87","199,761.03"
,13/12/2021,Bill Payment (Cheque),9364,Blaser GMBH,,Creditors,"-9,373.00","190,388.03"
,14/12/2021,Bill Payment (Cheque),9365,Blaser Group SAS,,Creditors,"-17,900.00","172,488.03"
,14/12/2021,Payment,,Armurerie Mallet,,Debtors,"1,272.00","173,760.03"
,15/12/2021,Bill Payment (Cheque),9367,Alphabet GP Ltd,,Creditors,"-1,045.12","172,714.91"
