,type,title,date_added,Added_Day,Added_Month,Added_Year,release_year,rating,listed_in,Method
0,Movie,Dick Johnson Is Dead,2021-09-25,25,9,2021,2020,PG-13,Documentaries,Documentaries
1,TV Show,Ganglands,2021-09-24,24,9,2021,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime
2,TV Show,Midnight Mass,2021-09-24,24,9,2021,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",TV
3,Movie,Confessions of an Invisible Girl,2021-09-22,22,9,2021,2021,TV-PG,"Children & Family Movies, Comedies",Children
4,Movie,Sankofa,2021-09-24,24,9,2021,1993,TV-MA,"Dramas, Independent Movies, International Movies","Dramas,"
5,TV Show,The Great British Baking Show,2021-09-24,24,9,2021,2021,TV-14,"British TV Shows, Reality TV",British
7,Movie,Motu Patlu in the Game of Zones,2021-05-01,1,5,2021,2019,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",Children
8,Movie,Je Suis Karl,2021-09-23,23,9,2021,2021,TV-MA,"Dramas, International Movies","Dramas,"
9,Movie,Motu Patlu in Wonderland,2021-05-01,1,5,2021,2013,TV-Y7,"Children & Family Movies, Music & Musicals",Children
10,Movie,Motu Patlu: Deep Sea Adventure,2021-05-01,1,5,2021,2014,TV-Y7,"Children & Family Movies, Comedies",Children
11,Movie,Motu Patlu: Mission Moon,2021-05-01,1,5,2021,2013,TV-Y7,"Children & Family Movies, Comedies",Children
12,Movie,99 Songs (Tamil),2021-05-21,21,5,2021,2021,TV-14,"Dramas, International Movies, Music & Musicals","Dramas,"
13,Movie,Bridgerton - The Afterparty,2021-07-13,13,7,2021,2021,TV-14,Movies,Movies
14,Movie,Bling Empire - The Afterparty,2021-06-12,12,6,2021,2021,TV-MA,Movies,Movies
15,Movie,Cobra Kai - The Afterparty,2021-06-12,12,6,2021,2021,TV-MA,Movies,Movies
16,Movie,The Circle - The Afterparty,2021-05-07,7,5,2021,2021,TV-14,Comedies,Comedies
18,TV Show,Crime Stories: India Detectives,2021-09-22,22,9,2021,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",British
19,Movie,True: Winter Wishes,2019-11-26,26,11,2019,2019,TV-Y,Children & Family Movies,Children
20,TV Show,True: Magical Friends,2018-06-15,15,6,2018,2018,TV-Y,Kids' TV,Kids'
21,TV Show,True: Wonderful Wishes,2018-06-15,15,6,2018,2018,TV-Y,Kids' TV,Kids'
22,TV Show,Dance & Sing with True,2018-05-18,18,5,2018,2018,TV-Y,Kids' TV,Kids'
23,Movie,My Little Pony: A New Generation,2021-09-24,24,9,2021,2021,PG,Children & Family Movies,Children
24,TV Show,Bangkok Breaking,2021-09-23,23,9,2021,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime
25,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2021-09-22,22,9,2021,2020,TV-MA,"Documentaries, International Movies","Documentaries,"
26,Movie,Samudri Lootere,2019-06-18,18,6,2019,2018,TV-Y,Children & Family Movies,Children
27,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021-09-22,22,9,2021,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",Crime
28,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021-09-21,21,9,2021,2021,TV-Y,Children & Family Movies,Children
30,Movie,Grown Ups,2021-09-20,20,9,2021,2010,PG-13,Comedies,Comedies
31,Movie,Dark Skies,2021-09-19,19,9,2021,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy",Horror
32,Movie,Paranoia,2021-09-19,19,9,2021,2013,PG-13,Thrillers,Thrillers
33,TV Show,Jaguar,2021-09-22,22,9,2021,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",International
34,TV Show,Chicago Party Aunt,2021-09-17,17,9,2021,2021,TV-MA,TV Comedies,TV
35,TV Show,Squid Game,2021-09-17,17,9,2021,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",International
36,TV Show,Tayo and Little Wizards,2021-09-17,17,9,2021,2020,TV-Y7,Kids' TV,Kids'
37,TV Show,The World's Most Amazing Vacation Rentals,2021-09-14,14,9,2021,2021,TV-PG,Reality TV,Reality
38,TV Show,Metal Shop Masters,2021-09-10,10,9,2021,2021,TV-MA,Reality TV,Reality
