"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"679,192,004","+43,431","6,794,496",+126,"651,994,710","+88,160","20,402,798","40,449","87,134",871.7,,,,All,"
",,,,,
USA,"105,092,404",,"1,143,760                                ",,"102,472,268",,"1,476,376","2,436","313,891","3,416","1,163,606,545","3,475,473","334,805,269 ",North America,3,293,0,,,"4,410"
India,"44,685,450",,"530,763                                ",,"44,152,687",,"2,000",N/A,"31,768",377,"918,101,478","652,695","1,406,631,776 ",Asia,31,"2,650",2,,,1
France,"39,600,548",,"164,829                                ",,"39,368,009",,"67,710",869,"603,809","2,513","271,490,188","4,139,547","65,584,518 ",Europe,2,398,0,,,"1,032"
Germany,"38,068,912",,"167,604                                ",,"37,643,100","+12,300","258,208",N/A,"453,830","1,998","122,332,384","1,458,359","83,883,596 ",Europe,2,500,1,,,"3,078"
Brazil,"36,997,328",,"698,381                                ",,"36,170,812",,"128,135",N/A,"171,798","3,243","63,776,166","296,146","215,353,593 ",South America,6,308,3,,,595
Japan,"33,136,016",,"71,923                                ",,"21,669,889",,"11,394,204",212,"263,854",573,"94,608,068","753,340","125,584,838 ",Asia,4,"1,746",1,,,"90,729"
S. Korea,"30,469,702","+10,845","33,909                                ",+22,"30,223,524","+14,004","212,269",180,"593,605",661,"15,804,065","307,892","51,329,899 ",Asia,2,"1,514",3,211,0.4,"4,135"
Italy,"25,547,414",,"187,850                                ",,"25,174,036",,"185,528",154,"423,934","3,117","267,156,892","4,433,200","60,262,770 ",Europe,2,321,0,,,"3,079"
UK,"24,341,615",,"206,246                                ",,"24,073,944","+2,508","61,425",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907 ",Europe,3,332,0,,,897
Russia,"22,218,663","+14,721","395,938                                ",+37,"21,557,637","+15,028","265,088",N/A,"152,385","2,716","273,400,000","1,875,095","145,805,947 ",Europe,7,368,1,101,0.3,"1,818"
Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,5,843,1,,,"1,819"
Spain,"13,755,956",,"119,186                                ",,"13,596,016",,"40,754",231,"294,439","2,551","471,036,328","10,082,298","46,719,142 ",Europe,3,392,0,,,872
Vietnam,"11,526,858",,"43,186                                ",,"10,614,735",,"868,937",5,"116,488",436,"85,826,548","867,342","98,953,541 ",Asia,9,"2,291",1,,,"8,781"
