type,title,date_added,release_year,rating,listed_in
Movie,**Dick Johnson Is Dead**,9/25/2021,2020),",?PG-13",Documentaries
TV Show,**Ganglands**,9/24/2021,2021C,",?TV-MA","Crime TV Shows, International TV Shows, TV Action & Adventure"
TV Show,**Midnight Mass**,9/24/2021,2021c,",?TV-MA","TV Dramas, TV Horror, TV Mysteries"
Movie,**Confessions of an Invisible Girl**,9/22/2021,2021,",?TV-PG","Children & Family Movies, Comedies"
Movie,**Sankofa**,9/24/2021,1993S,",?TV-MA","Dramas, Independent Movies, International Movies"
TV Show,**The Great British Baking Show**,9/24/2021,2021s,",?TV-14","British TV Shows, Reality TV"
,**The Starling**,9/24/2021,2021),",?PG-13","Comedies, Dramas"
Movie,**Motu Patlu in the Game of Zones**,05/01/2021,2019C,",?TV-Y7","Children & Family Movies, Comedies, Music & Musicals"
Movie,**Je Suis Karl**,9/23/2021,2021S,",?TV-MA","Dramas, International Movies"
Movie,**Motu Patlu in Wonderland**,05/01/2021,2013,",?TV-Y7","Children & Family Movies, Music & Musicals"
Movie,**Motu Patlu: Deep Sea Adventure**,05/01/2021,2014s,",?TV-Y7","Children & Family Movies, Comedies"
Movie,**Motu Patlu: Mission Moon**,05/01/2021,2013c,",?TV-Y7","Children & Family Movies, Comedies"
Movie,**99 Songs (Tamil)**,5/21/2021,2021,",?TV-14","Dramas, International Movies, Music & Musicals"
Movie,**Bridgerton - The Afterparty**,7/13/2021,2021,",?TV-14",Movies
Movie,**Bling Empire - The Afterparty**,06/12/2021,2021),",?TV-MA",Movies
Movie,**Cobra Kai - The Afterparty**,06/12/2021,2021(,",?TV-MA",Movies
Movie,**The Circle - The Afterparty**,05/07/2021,2021,",?TV-14",Comedies
,**Jailbirds New Orleans**,9/24/2021,2021),",?TV-MA","Docuseries, Reality TV"
TV Show,**Crime Stories: India Detectives**,9/22/2021,2021),",?TV-MA","British TV Shows, Crime TV Shows, Docuseries"
Movie,**True: Winter Wishes**,11/26/2019,2019C,",?TV-Y",Children & Family Movies
TV Show,**True: Magical Friends**,6/15/2018,2018,",?TV-Y",Kids' TV
TV Show,**True: Wonderful Wishes**,6/15/2018,2018),",?TV-Y",Kids' TV
TV Show,**Dance & Sing with True**,5/18/2018,2018C,",?TV-Y",Kids' TV
Movie,**My Little Pony: A New Generation**,9/24/2021,2021S,",?PG",Children & Family Movies
TV Show,**Bangkok Breaking**,9/23/2021,2021,",?TV-MA","Crime TV Shows, International TV Shows, TV Action & Adventure"
Movie,**Europe's Most Dangerous Man: Otto Skorzeny in Spain**,9/22/2021,2020,",?TV-MA","Documentaries, International Movies"
Movie,**Samudri Lootere**,6/18/2019,2018s,",?TV-Y",Children & Family Movies
TV Show,**Monsters Inside: The 24 Faces of Billy Milligan**,9/22/2021,2021),",?TV-14","Crime TV Shows, Docuseries, International TV Shows"
Movie,**Go! Go! Cory Carson: Chrissy Takes the Wheel**,9/21/2021,2021S,",?TV-Y",Children & Family Movies
,**Jeans**,9/21/2021,1998(,",?TV-14","Comedies, International Movies, Romantic Movies"
Movie,**Grown Ups**,9/20/2021,2010,",?PG-13",Comedies
Movie,**Dark Skies**,9/19/2021,2013(,",?PG-13","Horror Movies, Sci-Fi & Fantasy"
Movie,**Paranoia**,9/19/2021,2013(,",?PG-13",Thrillers
TV Show,**Jaguar**,9/22/2021,2021(,",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
TV Show,**Chicago Party Aunt**,9/17/2021,2021c,",?TV-MA",TV Comedies
TV Show,**Squid Game**,9/17/2021,2021S,",?TV-MA","International TV Shows, TV Dramas, TV Thrillers"
TV Show,**Tayo and Little Wizards**,9/17/2021,2020),",?TV-Y7",Kids' TV
TV Show,**The World's Most Amazing Vacation Rentals**,9/14/2021,2021(,",?TV-PG",Reality TV
TV Show,**Metal Shop Masters**,09/10/2021,2021(,",?TV-MA",Reality TV
TV Show,**Pokémon Master Journeys: The Series**,09/10/2021,2021s,",?TV-Y7","Anime Series, Kids' TV"
TV Show,**Titipo Titipo**,09/10/2021,2019(,",?TV-Y","Kids' TV, Korean TV Shows"
,**Mighty Raju**,09/09/2021,2017(,",?TV-Y7",Kids' TV
TV Show,**Tobot Galaxy Detectives**,09/07/2021,2019C,",?TV-Y7",Kids' TV
TV Show,**Hotel Del Luna**,09/02/2021,2019),",?TV-14","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**Brave Animated Series**,09/01/2021,2021s,",?TV-MA","International TV Shows, TV Action & Adventure, TV Comedies"
TV Show,**How to Be a Cowboy**,09/01/2021,2021c,",?TV-PG",Reality TV
TV Show,**Oldsters**,09/01/2021,2019s,",?TV-MA","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,**Bread Barbershop**,8/28/2021,2020S,",?TV-Y","Kids' TV, TV Comedies"
TV Show,**Turning Point: 9/11 and the War on Terror**,09/01/2021,2021S,",?TV-14",Docuseries
TV Show,**Hometown Cha-Cha-Cha**,8/29/2021,2021,",?TV-14","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**The Ingenuity of the Househusband**,8/29/2021,2021(,",?TV-G","International TV Shows, TV Comedies"
,**Minsara Kanavu**,9/21/2021,1997s,",?TV-PG","Comedies, International Movies, Music & Musicals"
,**Intrusion**,9/22/2021,2021S,",?TV-14",Thrillers
Movie,**Avvai Shanmughi**,9/21/2021,1996c,",?TV-PG","Comedies, International Movies"
Movie,**Ankahi Kahaniya**,9/17/2021,2021,",?TV-14","Dramas, Independent Movies, International Movies"
