id,date,month,day,year,country_name,landslide_type,trigger
34,03/02/2007,march,Friday,2007,United States,Landslide,Rain
42,3/22/07,,,,United States,Landslide,Rain
56,04/06/2007,,,,United States,Landslide,Rain
59,4/14/07,,,,Canada,Riverbank collapse,Rain
61,4/15/07,,,,United States,Landslide,Downpour
64,4/20/07,,,,United States,Landslide,Rain
67,4/24/07,,,,United States,Landslide,Rain
77,5/21/07,,,,Colombia,Mudslide,Rain
105,6/27/07,,,,Ecuador,Landslide,Downpour
106,6/27/07,,,,Ecuador,Landslide,Downpour
107,6/27/07,,,,Ecuador,Landslide,Downpour
109,07/01/2007,,,,United States,Landslide,Rain
115,07/04/2007,,,,Mexico,Landslide,Rain
119,07/08/2007,,,,Canada,Landslide,Unknown
124,7/13/07,,,Night,Dominican Republic,Landslide,Unknown
138,7/24/07,,,,United States,Landslide,Rain
165,08/09/2007,,,,Guatemala,Mudslide,Rain
174,08/11/2007,,,,Jamaica,Landslide,Rain
185,8/14/07,,,,United States,Mudslide,Rain
186,8/17/07,,,,Dominica,Mudslide,Tropical cyclone
187,8/18/07,,,,United States,Landslide,Rain
188,8/18/07,,,,United States,Landslide,Rain
189,8/18/07,,,,United States,Mudslide,Rain
193,8/19/07,,,,United States,Complex,Rain
194,8/19/07,,,,United States,Mudslide,Rain
197,8/20/07,,,,United States,Mudslide,Rain
198,8/21/07,,,,Guatemala,Landslide,Tropical cyclone
199,8/21/07,,,,Guatemala,Landslide,Tropical cyclone
201,8/23/07,,,,Mexico,Mudslide,Tropical cyclone
224,09/01/2007,,,,Trinidad and Tobago,Landslide,Tropical cyclone
225,09/02/2007,,,,Mexico,Complex,Tropical cyclone
228,09/03/2007,,,,United States,Mudslide,Rain
229,09/04/2007,,,,Nicaragua,Complex,Tropical cyclone
230,09/05/2007,,,,El Salvador,Mudslide,Tropical cyclone
235,09/05/2007,,,,United States,Landslide,Rain
236,09/05/2007,,,,United States,Mudslide,Rain
238,09/06/2007,,,,United States,Mudslide,Rain
249,09/09/2007,,,,Costa Rica,Landslide,Rain
250,09/09/2007,,,,Dominica,Landslide,Rain
