Series/Tournament,Season,Unnamed: 2,Winner,Margin
Australia in New Zealand T20I Match,2004/05,,Australia,1-0 (1)
Australia in England T20I Match,2005,,England,1-0 (1)
New Zealand in South Africa T20I Match,2005/06,,New Zealand,1-0 (1)
South Africa in Australia T20I Match,2005/06,,Australia,1-0 (1)
West Indies in New Zealand T20I Match,2005/06,,New Zealand,1-0 (1)
Australia in South Africa T20I Match,2005/06,,South Africa,1-0 (1)
Sri Lanka in England T20I Match,2006,,Sri Lanka,1-0 (1)
Pakistan in England T20I Match,2006,,Pakistan,1-0 (1)
Zimbabwe in Bangladesh T20I Match,2006/07,,Bangladesh,1-0 (1)
India in South Africa T20I Match,2006/07,,India,1-0 (1)
Sri Lanka in New Zealand T20I Series,2006/07,,drawn,1-1 (2)
England in Australia T20I Match,2006/07,,Australia,1-0 (1)
Pakistan in South Africa T20I Match,2006/07,,South Africa,1-0 (1)
West Indies in England T20I Series,2007,,drawn,1-1 (2)
"Twenty20 Quadrangular (in Kenya) (Bangladesh, Kenya, Pakistan, Uganda in Kenya)",2007/08,,none,
ICC World Twenty20 (in South Africa),2007/08,,India,
Australia in India T20I Match,2007/08,,India,1-0 (1)
New Zealand in South Africa T20I Match,2007/08,,South Africa,1-0 (1)
New Zealand in Australia T20I Match,2007/08,,Australia,1-0 (1)
West Indies in South Africa T20I Series,2007/08,,drawn,1-1 (2)
India in Australia T20I Match,2007/08,,Australia,1-0 (1)
England in New Zealand T20I Series,2007/08,,England,2-0 (2)
Bangladesh in Pakistan T20I Match,2007/08,,Pakistan,1-0 (1)
New Zealand in England T20I Match,2008,,England,1-0 (1)
Australia in West Indies T20I Match,2008,,West Indies,1-0 (1)
"ICC World Twenty20 Qualifier (Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland)",2008,,shared,
South Africa in England T20I Match,2008,,abandoned,0-0 (1)
T20 Canada (in Canada),2008/09,,Sri Lanka,
Bangladesh in South Africa T20I Match,2008/09,,South Africa,1-0 (1)
West Indies in New Zealand T20I Series,2008/09,,drawn,1-1 (2)
South Africa in Australia T20I Series,2008/09,,Australia,2-0 (2)
India in Sri Lanka T20I Match,2008/09,,India,1-0 (1)
New Zealand in Australia T20I Match,2008/09,,Australia,1-0 (1)
India in New Zealand T20I Series,2008/09,,New Zealand,2-0 (2)
England in West Indies T20I Match,2008/09,,West Indies,1-0 (1)
Australia in South Africa T20I Series,2008/09,,South Africa,2-0 (2)
Australia v Pakistan T20I Match (in United Arab Emirates),2009,,Pakistan,1-0 (1)
ICC World Twenty20 (in England),2009,,Pakistan,
Bangladesh in West Indies T20I Match,2009,,West Indies,1-0 (1)
Pakistan in Sri Lanka T20I Match,2009,,Pakistan,1-0 (1)
Australia in England T20I Series,2009,,drawn,0-0 (2)
New Zealand in Sri Lanka T20I Series,2009,,New Zealand,2-0 (2)
Pakistan v New Zealand T20I Series (in United Arab Emirates),2009/10,,Pakistan,2-0 (2)
England in South Africa T20I Series,2009/10,,drawn,1-1 (2)
Sri Lanka in India T20I Series,2009/10,,drawn,1-1 (2)
Bangladesh in New Zealand T20I Match,2009/10,,New Zealand,1-0 (1)
Kenya T20 Tri-Series,2009/10,,Kenya,
Sri Lanka Associates T20 Series,2009/10,,Sri Lanka A,
Pakistan in Australia T20I Match,2009/10,,Australia,1-0 (1)
ICC World Twenty20 Qualifier (in United Arab Emirates),2009/10,,Afghanistan,
Pakistan v England T20I Series (in United Arab Emirates),2009/10,,drawn,1-1 (2)
West Indies in Australia T20I Series,2009/10,,Australia,2-0 (2)
Australia in New Zealand T20I Series,2009/10,,drawn,1-1 (2)
Zimbabwe in West Indies T20I Match,2009/10,,Zimbabwe,1-0 (1)
ICC World Twenty20 (in West Indies),2010,,England,
South Africa in West Indies T20I Series,2010,,South Africa,2-0 (2)
New Zealand v Sri Lanka T20I Series (in United States of America),2010,,drawn,1-1 (2)
India in Zimbabwe T20I Series,2010,,India,2-0 (2)
"MCC Spirit of Cricket T20I Series (Australia, Pakistan in England)",2010,,Pakistan,2-0 (2)
Pakistan in England T20I Series,2010,,England,2-0 (2)
Zimbabwe in South Africa T20I Series,2010/11,,South Africa,2-0 (2)
Pakistan v South Africa T20I Series (in United Arab Emirates),2010/11,,South Africa,2-0 (2)
Sri Lanka in Australia T20I Match,2010/11,,Sri Lanka,1-0 (1)
Pakistan in New Zealand T20I Series,2010/11,,New Zealand,2-1 (3)
India in South Africa T20I Match,2010/11,,India,1-0 (1)
England in Australia T20I Series,2010/11,,drawn,1-1 (2)
Pakistan in West Indies T20I Match,2011,,West Indies,1-0 (1)
India in West Indies T20I Match,2011,,India,1-0 (1)
Sri Lanka in England T20I Match,2011,,Sri Lanka,1-0 (1)
Australia in Sri Lanka T20I Series,2011,,Sri Lanka,2-0 (2)
India in England T20I Match,2011,,England,1-0 (1)
Pakistan in Zimbabwe T20I Series,2011,,Pakistan,2-0 (2)
West Indies in England T20I Series,2011,,drawn,1-1 (2)
West Indies in Bangladesh T20I Match,2011/12,,Bangladesh,1-0 (1)
Australia in South Africa T20I Series,2011/12,,drawn,1-1 (2)
